Date,Open,High,Low,Close,Volume
2021-10-13,7400,8250,7400,7525,210893300
2021-10-14,7600,7900,7600,7750,138811900
2021-10-15,7800,7875,7450,7650,142378200
2021-10-18,7650,7675,7475,7525,116644300
2021-10-19,7475,7525,7350,7500,134601200
2021-10-21,7500,7550,7350,7400,106120100
2021-10-22,7450,7550,7425,7525,96730700
2021-10-25,7400,7525,7400,7525,60329800
2021-10-26,7600,7600,7500,7525,70103000
2021-10-27,7575,7575,7425,7450,57067000
2021-10-28,7350,7425,7350,7375,75271900
2021-10-29,7450,7475,7375,7475,60639200
2021-11-01,7550,7550,7400,7400,38593400
2021-11-02,7375,7425,7250,7300,90535400
2021-11-03,7300,7400,7250,7350,61621500
2021-11-04,7425,7475,7375,7375,61081400
2021-11-05,7475,7475,7375,7450,43120400
2021-11-08,7500,7600,7450,7575,85441700
2021-11-09,7600,7675,7575,7675,101785800
2021-11-10,7675,7675,7575,7650,47503900
2021-11-11,7700,7750,7600,7675,55790000
2021-11-12,7750,7750,7525,7525,52590100
2021-11-15,7625,7625,7500,7500,67344200
2021-11-16,7400,7475,7325,7475,98616900
2021-11-17,7500,7575,7425,7575,61968100
2021-11-18,7425,7500,7400,7400,78839600
2021-11-19,7425,7450,7375,7425,68203700
2021-11-22,7425,7525,7400,7475,66328300
2021-11-23,7400,7500,7400,7475,43477500
2021-11-24,7575,7575,7425,7475,35181400
2021-11-25,7450,7525,7425,7425,40216100
2021-11-26,7400,7450,7250,7275,113288400
2021-11-29,7275,7425,7175,7400,87907900
2021-11-30,7325,7425,7275,7275,144923700
2021-12-01,7275,7450,7275,7300,76538100
2021-12-02,7375,7500,7300,7500,66831000
2021-12-03,7525,7525,7350,7375,63283700
2021-12-06,7450,7475,7350,7350,56944100
2021-12-07,7450,7475,7350,7350,51258200
2021-12-08,7450,7475,7400,7425,74775000
2021-12-09,7400,7450,7350,7350,54886400
2021-12-10,7325,7375,7275,7375,91092400
2021-12-13,7375,7400,7300,7300,59977100
2021-12-14,7300,7375,7275,7300,49763600
2021-12-15,7300,7375,7275,7300,52477600
2021-12-16,7375,7400,7275,7275,95171400
2021-12-17,7325,7500,7300,7500,107096800
2021-12-20,7350,7400,7325,7375,74753000
2021-12-21,7325,7400,7325,7375,52386100
2021-12-22,7425,7425,7325,7325,33232000
2021-12-23,7325,7350,7300,7300,37136400
2021-12-24,7300,7350,7300,7300,30802100
2021-12-27,7300,7350,7300,7350,20722100
2021-12-28,7375,7400,7325,7350,39343800
2021-12-29,7350,7375,7300,7300,42079500
2021-12-30,7350,7350,7300,7300,49954700
2022-01-03,7325,7400,7300,7325,54287400
2022-01-04,7325,7450,7325,7400,70624000
2022-01-05,7450,7525,7375,7450,76164900
2022-01-06,7500,7525,7425,7475,63657100
