Date,Open,High,Low,Close,Volume,MA5,MA20,MA60,AlexanderFilter,RS,RSI,Money Flow Index,%B,10 days Volatility,30 days Volatility,Chaikin Oscilator,MACD,Accumulation and Distribution Oscillator,%K,William %R
12/05/2020,5340,5340,5030,5220,118660000,5280,5214.75,5676.083333,1.457725948,0.82,45.05494505,39.63485567,0.506592341,181.2484483,234.1606761,95160423.53,-178.2692308,-1992069976,70,0.3
13/05/2020,5160,5170,5085,5110,94973000,5245,5195.25,5648.25,-0.1953125,0.92481203,48.046875,39.15551287,0.387263357,171.4234523,234.7861912,75530948,-167.5641026,-2031176505,51.66666667,0.483333333
14/05/2020,5070,5110,4905,4920,131268000,5158,5165.5,5616.916667,0,0.732142857,42.26804124,38.69104748,0.16482135,155.5988432,242.5952848,13629640.02,-145.4487179,-2143234554,20,0.8
15/05/2020,4920,4995,4680,4785,205790000,5066,5130.5,5583.5,-3.528225806,0.647368421,39.2971246,30.75987387,0.034566043,169.4468943,255.2624466,-61092854.71,-123.4935897,-2211831221,14.58333333,0.854166667
18/05/2020,4800,4845,4750,4765,139997500,4960,5106.75,5551.583333,-1.345755694,0.798701299,44.40433213,30.70810652,0.072575681,206.6518812,267.6668742,-135250044.7,-94.67948718,-2307618984,11.80555556,0.881944444
19/05/2020,4840,4960,4680,4680,128504500,4852,5069.5,5517.583333,-3.505154639,0.67251462,40.20979021,31.16842972,0.028270563,241.1410376,284.3727991,-196695718.5,-72.11538462,-2436123484,0,1
20/05/2020,4720,4800,4690,4765,119158000,4783,5040,5485.416667,-7.833655706,0.910344828,47.6534296,32.30019234,0.165726061,244.354251,291.1517359,-222623100.2,-73.94230769,-2392793302,11.80555556,0.881944444
26/05/2020,4775,5000,4775,4970,176076500,4793,5030.5,5456.666667,-4.789272031,1.165517241,53.82165605,41.0147487,0.425963399,216.3151636,276.1151632,-181555696.3,-74.39102564,-2263670536,40.27777778,0.597222222
27/05/2020,4970,5000,4855,4965,151753500,4829,5021.5,5429.5,-6.05487228,0.719178082,41.83266932,40.08403101,0.430421885,196.8660712,263.4114336,-82291053.44,-79.90384615,-2185177346,39.58333333,0.604166667
28/05/2020,5000,5320,5000,5295,229233000,4935,5030.25,5407.5,-1.120448179,1.102739726,52.44299674,43.93160118,0.814143151,196.8660712,249.2103641,48675829.84,-77.59615385,-1991762002,85.41666667,0.145833333
29/05/2020,5295,5295,5190,5190,399414000,5037,5043.75,5385.25,-1.048617731,0.886227545,46.98412698,51.50471143,0.672592956,192.878848,234.6413339,46084610.26,-80.25641026,-2391176002,70.83333333,0.291666667
02/06/2020,5260,5500,5240,5360,181369500,5156,5063.75,5365.75,1.227573182,1.005988024,50.14925373,53.69572461,0.834146885,226.0580678,228.4403642,10162991.18,-72.33974359,-2405127502,82.92682927,0.170731707
03/06/2020,5410,5780,5400,5780,279673500,5318,5111.25,5355.083333,10.72796935,1.737931034,63.47607053,62.50236672,1.132860772,330.3819759,247.8429722,-36179064.03,-42.01923077,-2125454002,100,0
